bug: abort in add_browser, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: apr_file_flush_locked in cfg_getch, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getch, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in cfg_getch, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getch, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getch, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getch, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, gettimeofday), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in cfg_getstr, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in cfg_getstr, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in default_handler, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in default_handler, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, gettimeofday), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getdbit, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getdbit, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, gettimeofday), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getpage, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getpage, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, gettimeofday), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in getsfunc_FILE, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (ap_explode_recent_localtime, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_error_string, apr_file_flush_locked), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, apr_file_write_full), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, apr_os_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, apr_vformatter), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, c2x), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, gai_strerror), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, gettimeofday), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, native_strerror), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, strcpy), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, strlen), support: 65, confidence: 85.53%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, strrchr), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, stuffbuffer), support: 64, confidence: 84.21%
bug: apr_file_flush_locked in makroom, pair: (apr_file_flush_locked, syslog), support: 63, confidence: 82.89%
bug: apr_file_flush_locked in makroom, pair: (ap_run_error_log, apr_file_flush_locked), support: 63, confidence: 82.89%
bug: apr_file_puts in ap_reclaim_child_processes, pair: (apr_file_puts, apr_time_now), support: 24, confidence: 96.00%
bug: apr_gcvt in ap_fini_vhost_config, pair: (apr_gcvt, apr_strerror), support: 36, confidence: 87.80%
bug: apr_gcvt in ap_mpm_run, pair: (apr_gcvt, apr_strerror), support: 36, confidence: 87.80%
bug: apr_gcvt in apr_vformatter, pair: (apr_gcvt, apr_strerror), support: 36, confidence: 87.80%
bug: apr_gcvt in ap_signal_server, pair: (apr_gcvt, apr_strerror), support: 36, confidence: 87.80%
bug: apr_gcvt in fix_hostname, pair: (apr_gcvt, apr_strerror), support: 36, confidence: 87.80%
bug: apr_hash_next in ap_method_name_of, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in apr_hash_first, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in ap_send_error_response, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in ap_send_http_options, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in default_handler, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in expand_array, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_next in make_allow, pair: (apr_hash_next, memcmp), support: 41, confidence: 83.67%
bug: apr_hash_pool_get in ap_add_loaded_module, pair: (apr_hash_pool_get, apr_thread_mutex_lock), support: 14, confidence: 93.33%
bug: apr_hash_pool_get in ap_add_loaded_module, pair: (apr_hash_pool_get, apr_thread_mutex_unlock), support: 14, confidence: 93.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (allocator_free, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_brigade_cleanup, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_brigade_flatten, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_bucket_socket_make, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_thread_mutex_lock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_thread_mutex_unlock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, destroy_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, free_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, get_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, make_server_live), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, memchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, pop_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, push_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, run_cleanups), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, strchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, strlen), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, writev), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (__errno_location, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (allocator_free, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_brigade_cleanup, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_brigade_flatten, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_bucket_socket_make, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_thread_mutex_lock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_thread_mutex_unlock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, destroy_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, free_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, get_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, make_server_live), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, memchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, pop_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, push_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, run_cleanups), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, strchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, strlen), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, writev), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (__errno_location, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_os_strerror in ap_http_chunk_filter, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_http_chunk_filter, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_open_piped_log, pair: (apr_os_strerror, strcpy), support: 84, confidence: 96.55%
bug: apr_os_strerror in ap_process_resource_config, pair: (apr_os_strerror, strcpy), support: 84, confidence: 96.55%
bug: apr_os_strerror in apr_brigade_printf, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in apr_brigade_printf, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_regerror, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_regerror, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_rprintf, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in ap_rprintf, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in apr_strfsize, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in apr_strfsize, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in apr_xml_parser_geterror, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in apr_xml_parser_geterror, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in dump_a_vhost, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in dump_a_vhost, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in dump_vhost_config, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in dump_vhost_config, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in include_config, pair: (apr_os_strerror, strcpy), support: 84, confidence: 96.55%
bug: apr_os_strerror in log_request_time, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in log_request_time, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_os_strerror in set_neg_headers, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 77, confidence: 88.51%
bug: apr_os_strerror in set_neg_headers, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 77, confidence: 88.51%
bug: apr_pool_allocator_get in ap_mpm_run, pair: (allocator_free, apr_pool_allocator_get), support: 18, confidence: 85.71%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (allocator_free, apr_pool_allocator_get), support: 18, confidence: 85.71%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, free_proc_chain), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, run_cleanups), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (__errno_location, apr_pool_allocator_get), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in ms_find_conn, pair: (allocator_free, apr_pool_allocator_get), support: 18, confidence: 85.71%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, free_proc_chain), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, run_cleanups), support: 19, confidence: 90.48%
bug: apr_pool_allocator_get in ms_find_conn, pair: (__errno_location, apr_pool_allocator_get), support: 19, confidence: 90.48%
bug: apr_pool_cleanup_register in ap_add_loaded_module, pair: (apr_pool_cleanup_register, apr_thread_mutex_lock), support: 17, confidence: 94.44%
bug: apr_pool_cleanup_register in ap_add_loaded_module, pair: (apr_pool_cleanup_register, apr_thread_mutex_unlock), support: 17, confidence: 94.44%
bug: apr_pool_cleanup_register in ap_add_loaded_module, pair: (__errno_location, apr_pool_cleanup_register), support: 15, confidence: 83.33%
bug: apr_pool_cleanup_register in apr_app_initialize, pair: (apr_pool_cleanup_register, strlen), support: 16, confidence: 88.89%
bug: apr_pool_cleanup_register in apr_app_initialize, pair: (__errno_location, apr_pool_cleanup_register), support: 15, confidence: 83.33%
bug: apr_pool_cleanup_register in apr_memcache_find_server_hash_default, pair: (apr_pool_cleanup_register, strlen), support: 16, confidence: 88.89%
bug: apr_pool_cleanup_register in ap_setup_prelinked_modules, pair: (__errno_location, apr_pool_cleanup_register), support: 15, confidence: 83.33%
bug: apr_pool_cleanup_run in ap_setup_listeners, pair: (apr_pool_cleanup_run, apr_thread_mutex_lock), support: 11, confidence: 91.67%
bug: apr_pool_cleanup_run in ap_setup_listeners, pair: (apr_pool_cleanup_run, apr_thread_mutex_unlock), support: 11, confidence: 91.67%
bug: apr_pool_destroy in accept_mutex_on, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in ap_fixup_virtual_hosts, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in ap_mpm_run, pair: (allocator_free, apr_pool_destroy), support: 44, confidence: 97.78%
bug: apr_pool_destroy in apr_memcache_add, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_add, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_add, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_add, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_decr, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_decr, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_decr, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_decr, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_find_server_hash_default, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_find_server_hash_default, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_find_server_hash_default, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_find_server_hash_default, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_incr, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_incr, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_incr, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_incr, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_replace, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_replace, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_replace, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_replace, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_set, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_set, pair: (apr_allocator_mutex_get, apr_pool_destroy), support: 39, confidence: 86.67%
bug: apr_pool_destroy in apr_memcache_set, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_memcache_set, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 84.44%
bug: apr_pool_destroy in apr_terminate2, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in apr_terminate, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in init_process, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in just_die, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in mget_conn_result, pair: (__errno_location, apr_pool_destroy), support: 36, confidence: 80.00%
bug: apr_pool_destroy in startup_children, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 84.44%
