bug: abort in add_browser, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: apr_cpystrn in load_module, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in load_module, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in load_module, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in load_module, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, apr_error_string), support: 186, confidence: 89.42%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, gai_strerror), support: 186, confidence: 89.42%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, hstrerror), support: 187, confidence: 89.90%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, strchr), support: 189, confidence: 90.87%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in log_child, pair: (apr_cpystrn, strerror_r), support: 187, confidence: 89.90%
bug: apr_cpystrn in log_child, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__errno_location, apr_cpystrn), support: 186, confidence: 89.42%
bug: apr_cpystrn in log_child, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_child, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in log_request_time, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in log_request_time, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, apr_error_string), support: 186, confidence: 89.42%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, gai_strerror), support: 186, confidence: 89.42%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, hstrerror), support: 187, confidence: 89.90%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, strchr), support: 189, confidence: 90.87%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, strlen), support: 196, confidence: 94.23%
bug: apr_cpystrn in native_strerror, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__errno_location, apr_cpystrn), support: 186, confidence: 89.42%
bug: apr_cpystrn in native_strerror, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in native_strerror, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in output_directories, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in output_directories, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in show_time, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in show_time, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, apr_error_string), support: 186, confidence: 89.42%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, gai_strerror), support: 186, confidence: 89.42%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, hstrerror), support: 187, confidence: 89.90%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, strchr), support: 189, confidence: 90.87%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, strerror_r), support: 187, confidence: 89.90%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, strlen), support: 196, confidence: 94.23%
bug: apr_cpystrn in stuffbuffer, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__errno_location, apr_cpystrn), support: 186, confidence: 89.42%
bug: apr_cpystrn in stuffbuffer, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in stuffbuffer, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in virtualhost_section, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cvt in ap_directory_walk, pair: (apr_cvt, apr_vformatter), support: 48, confidence: 96.00%
bug: apr_cvt in ap_http_chunk_filter, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_http_chunk_filter, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_regerror, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_regerror, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_rprintf, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_rprintf, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_cvt in apr_strfsize, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in apr_strfsize, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_cvt in apr_xml_parser_geterror, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in apr_xml_parser_geterror, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_cvt in ap_update_vhost_from_headers, pair: (apr_cvt, apr_vformatter), support: 48, confidence: 96.00%
bug: apr_cvt in get_canned_error_string, pair: (__errno_location, apr_cvt), support: 48, confidence: 96.00%
bug: apr_cvt in handle_autoindex, pair: (__errno_location, apr_cvt), support: 48, confidence: 96.00%
bug: apr_cvt in log_request_time, pair: (apr_cvt, apr_thread_mutex_lock), support: 44, confidence: 88.00%
bug: apr_cvt in log_request_time, pair: (apr_cvt, apr_thread_mutex_unlock), support: 44, confidence: 88.00%
bug: apr_ecvt in ap_log_cerror, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in ap_log_error, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in ap_log_perror, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in apr_vformatter, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in apr_vformatter, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in apr_vformatter, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in ap_xml_parse_input, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in ap_xml_parse_input, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in ap_xml_parse_input, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in core_map_to_storage, pair: (apr_ecvt, apr_snprintf), support: 46, confidence: 97.87%
bug: apr_ecvt in format_byte_out, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in format_byte_out, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in format_byte_out, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in format_kbyte_out, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in format_kbyte_out, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in format_kbyte_out, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in output_directories, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in output_directories, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in output_directories, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_ecvt in show_time, pair: (apr_ecvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_ecvt in show_time, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_ecvt in show_time, pair: (apr_ecvt, malloc), support: 38, confidence: 80.85%
bug: apr_error_string in add_browser, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in add_setenvif, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, conv_10), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, conv_p2), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strcpy), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strlen), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__ctype_b_loc, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__errno_location, apr_error_string), support: 181, confidence: 97.31%
bug: apr_error_string in allow_cmd, pair: (__isinf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__isinff, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__isinfl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__isnan, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__isnanf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in allow_cmd, pair: (__isnanl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, conv_10), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, conv_p2), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strchr), support: 184, confidence: 98.92%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strcpy), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strlen), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__ctype_b_loc, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__errno_location, apr_error_string), support: 181, confidence: 97.31%
bug: apr_error_string in apr_strerror, pair: (__isinf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__isinff, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__isinfl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__isnan, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__isnanf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strerror, pair: (__isnanl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_vsnprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_vsnprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_xml_parser_geterror, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in apr_xml_parser_geterror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_vrprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_vrprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_xml_parse_input, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in ap_xml_parse_input, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, conv_10), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, conv_p2), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strchr), support: 184, confidence: 98.92%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strcpy), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strlen), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__ctype_b_loc, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__errno_location, apr_error_string), support: 181, confidence: 97.31%
bug: apr_error_string in cgi_child_errfn, pair: (__isinf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__isinff, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__isinfl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__isnan, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__isnanf, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in cgi_child_errfn, pair: (__isnanl, apr_error_string), support: 183, confidence: 98.39%
bug: apr_error_string in format_byte_out, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in format_byte_out, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in format_kbyte_out, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in format_kbyte_out, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in get_canned_error_string, pair: (__errno_location, apr_error_string), support: 181, confidence: 97.31%
bug: apr_error_string in handle_autoindex, pair: (__errno_location, apr_error_string), support: 181, confidence: 97.31%
bug: apr_error_string in handle_elif, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in handle_if, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_error_string in log_request_time, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in log_request_time, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in output_directories, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in output_directories, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in show_time, pair: (apr_error_string, apr_thread_mutex_lock), support: 168, confidence: 90.32%
bug: apr_error_string in show_time, pair: (apr_error_string, apr_thread_mutex_unlock), support: 168, confidence: 90.32%
bug: apr_error_string in virtualhost_section, pair: (apr_error_string, ntohl), support: 178, confidence: 95.70%
bug: apr_fcvt in ap_log_cerror, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in ap_log_error, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in ap_log_perror, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in apr_vformatter, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in apr_vformatter, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in apr_vformatter, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in ap_xml_parse_input, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in ap_xml_parse_input, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in ap_xml_parse_input, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in core_map_to_storage, pair: (apr_fcvt, apr_snprintf), support: 46, confidence: 97.87%
bug: apr_fcvt in format_byte_out, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in format_byte_out, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in format_byte_out, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in format_kbyte_out, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in format_kbyte_out, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in format_kbyte_out, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in output_directories, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in output_directories, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in output_directories, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_fcvt in show_time, pair: (apr_fcvt, apr_thread_mutex_lock), support: 41, confidence: 87.23%
bug: apr_fcvt in show_time, pair: (apr_fcvt, apr_thread_mutex_unlock), support: 41, confidence: 87.23%
bug: apr_fcvt in show_time, pair: (apr_fcvt, malloc), support: 38, confidence: 80.85%
bug: apr_file_close in ap_logs_child_init, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in ap_logs_child_init, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in ap_logs_child_init, pair: (__errno_location, apr_file_close), support: 39, confidence: 90.70%
bug: apr_file_close in ap_mpm_pod_close, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in ap_mpm_pod_close, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in ap_mpm_pod_close, pair: (__errno_location, apr_file_close), support: 39, confidence: 90.70%
bug: apr_file_close in apr_shm_remove, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in apr_shm_remove, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in cfg_close, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in cfg_close, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in cfg_close, pair: (__errno_location, apr_file_close), support: 39, confidence: 90.70%
bug: apr_file_close in database_cleanup, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in database_cleanup, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in piped_log_cleanup_for_exec, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in piped_log_cleanup_for_exec, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_file_close in piped_log_cleanup_for_exec, pair: (__errno_location, apr_file_close), support: 39, confidence: 90.70%
bug: apr_file_close in piped_log_cleanup, pair: (apr_file_close, apr_thread_mutex_lock), support: 36, confidence: 83.72%
bug: apr_file_close in piped_log_cleanup, pair: (apr_file_close, apr_thread_mutex_unlock), support: 36, confidence: 83.72%
bug: apr_gcvt in add_browser, pair: (apr_gcvt, inet_ntop4), support: 82, confidence: 92.13%
bug: apr_gcvt in add_browser, pair: (apr_gcvt, modf), support: 83, confidence: 93.26%
bug: apr_gcvt in add_browser, pair: (apr_gcvt, ntohl), support: 84, confidence: 94.38%
bug: apr_gcvt in add_setenvif, pair: (apr_gcvt, inet_ntop4), support: 82, confidence: 92.13%
bug: apr_gcvt in add_setenvif, pair: (apr_gcvt, modf), support: 83, confidence: 93.26%
bug: apr_gcvt in add_setenvif, pair: (apr_gcvt, ntohl), support: 84, confidence: 94.38%
bug: apr_gcvt in ap_add_loaded_module, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in ap_escape_html, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in ap_escape_html, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in ap_get_local_host, pair: (apr_gcvt, inet_ntop4), support: 82, confidence: 92.13%
bug: apr_gcvt in ap_os_create_privileged_process, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_brigade_vprintf, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_brigade_vprintf, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_dbm_get_usednames, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_dbm_get_usednames, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_dbm_open, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_dbm_open, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_file_printf, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_pvsprintf, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_pvsprintf, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_snprintf, pair: (apr_gcvt, apr_thread_mutex_lock), support: 86, confidence: 96.63%
bug: apr_gcvt in apr_snprintf, pair: (apr_gcvt, apr_thread_mutex_unlock), support: 86, confidence: 96.63%
bug: apr_gcvt in apr_snprintf, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_snprintf, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_vsnprintf, pair: (apr_gcvt, apr_thread_mutex_lock), support: 86, confidence: 96.63%
bug: apr_gcvt in apr_vsnprintf, pair: (apr_gcvt, apr_thread_mutex_unlock), support: 86, confidence: 96.63%
bug: apr_gcvt in apr_vsnprintf, pair: (apr_gcvt, strrchr), support: 74, confidence: 83.15%
bug: apr_gcvt in apr_vsnprintf, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in ap_setup_prelinked_modules, pair: (apr_gcvt, write), support: 74, confidence: 83.15%
bug: apr_gcvt in ap_vrprintf, pair: (apr_gcvt, apr_thread_mutex_lock), support: 86, confidence: 96.63%
