bug: ap_escape_errorlog_item in main, pair: (ap_escape_errorlog_item, apr_time_now), support: 62, confidence: 98.41%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_vsnprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_escape_errorlog_item, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_recent_ctime, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_file_flush), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_file_puts), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_strerror), support: 64, confidence: 94.12%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: ap_run_error_log in ap_log_error, pair: (ap_run_error_log, apr_vsnprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_escape_errorlog_item, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_recent_ctime, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_file_flush), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_file_puts), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_strerror), support: 64, confidence: 94.12%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: ap_run_error_log in ap_log_perror, pair: (ap_run_error_log, apr_vsnprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_escape_errorlog_item, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_recent_ctime, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_file_flush), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_file_puts), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_strerror), support: 64, confidence: 94.12%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: ap_run_error_log in ap_log_rerror, pair: (ap_run_error_log, apr_vsnprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_escape_errorlog_item, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_recent_ctime, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_run_error_log, apr_file_flush), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_run_error_log, apr_file_puts), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in log_error_core, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: ap_run_error_log in log_error_core, pair: (ap_run_error_log, apr_vsnprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in main, pair: (ap_run_error_log, apr_time_now), support: 62, confidence: 91.18%
bug: apr_vsnprintf in main, pair: (apr_time_now, apr_vsnprintf), support: 62, confidence: 98.41%
bug: ap_str_tolower in ap_add_loaded_module, pair: (ap_str_tolower, strlen), support: 21, confidence: 80.77%
bug: ap_str_tolower in ap_register_output_filter, pair: (ap_str_tolower, strlen), support: 21, confidence: 80.77%
bug: ap_str_tolower in ap_setup_prelinked_modules, pair: (ap_str_tolower, strlen), support: 21, confidence: 80.77%
bug: ap_str_tolower in fix_encoding, pair: (ap_str_tolower, strlen), support: 21, confidence: 80.77%
bug: ap_str_tolower in parse_accept_headers, pair: (ap_str_tolower, strlen), support: 21, confidence: 80.77%
bug: c2x in ap_escape_errorlog_item, pair: (apr_thread_mutex_lock, c2x), support: 10, confidence: 83.33%
bug: c2x in ap_escape_errorlog_item, pair: (apr_thread_mutex_unlock, c2x), support: 10, confidence: 83.33%
bug: c2x in ap_escape_errorlog_item, pair: (c2x, strlen), support: 11, confidence: 91.67%
bug: c2x in ap_sub_req_lookup_uri, pair: (apr_thread_mutex_lock, c2x), support: 10, confidence: 83.33%
bug: c2x in ap_sub_req_lookup_uri, pair: (apr_thread_mutex_unlock, c2x), support: 10, confidence: 83.33%
bug: close in cb_cleanup, pair: (__errno_location, close), support: 11, confidence: 84.62%
bug: close in impl_pollset_cleanup, pair: (__errno_location, close), support: 11, confidence: 84.62%
bug: conv_10 in conv_10_quad, pair: (conv_10, conv_p2), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (conv_10, strchr), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (conv_10, strlen), support: 31, confidence: 91.18%
bug: conv_10 in conv_10_quad, pair: (__ctype_b_loc, conv_10), support: 30, confidence: 88.24%
bug: conv_10 in conv_10_quad, pair: (__isinf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (__isinff, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (__isinfl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (__isnan, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (__isnanf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_10_quad, pair: (__isnanl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (conv_10, conv_p2), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (conv_10, strchr), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__ctype_b_loc, conv_10), support: 30, confidence: 88.24%
bug: conv_10 in conv_apr_sockaddr, pair: (__isinf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__isinff, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__isinfl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__isnan, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__isnanf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_apr_sockaddr, pair: (__isnanl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (conv_10, conv_p2), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (conv_10, strchr), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isinf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isinff, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isinfl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isnan, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isnanf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_fp, pair: (__isnanl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (conv_10, conv_p2), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (conv_10, strchr), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (conv_10, strlen), support: 31, confidence: 91.18%
bug: conv_10 in conv_in_addr, pair: (__ctype_b_loc, conv_10), support: 30, confidence: 88.24%
bug: conv_10 in conv_in_addr, pair: (__isinf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (__isinff, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (__isinfl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (__isnan, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (__isnanf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_in_addr, pair: (__isnanl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (conv_10, conv_p2), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (conv_10, strchr), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (conv_10, strlen), support: 31, confidence: 91.18%
bug: conv_10 in conv_os_thread_t, pair: (__ctype_b_loc, conv_10), support: 30, confidence: 88.24%
bug: conv_10 in conv_os_thread_t, pair: (__isinf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (__isinff, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (__isinfl, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (__isnan, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (__isnanf, conv_10), support: 29, confidence: 85.29%
bug: conv_10 in conv_os_thread_t, pair: (__isnanl, conv_10), support: 29, confidence: 85.29%
bug: conv_10_quad in ap_log_rerror, pair: (apr_strerror, conv_10_quad), support: 21, confidence: 95.45%
bug: conv_10_quad in apr_strfsize, pair: (apr_strfsize, conv_10_quad), support: 21, confidence: 95.45%
bug: conv_apr_sockaddr in ap_log_rerror, pair: (apr_strerror, conv_apr_sockaddr), support: 21, confidence: 95.45%
bug: conv_apr_sockaddr in apr_strfsize, pair: (apr_strfsize, conv_apr_sockaddr), support: 21, confidence: 95.45%
bug: conv_fp in ap_log_rerror, pair: (apr_strerror, conv_fp), support: 21, confidence: 95.45%
bug: conv_fp in apr_strfsize, pair: (apr_strfsize, conv_fp), support: 21, confidence: 95.45%
bug: conv_in_addr in ap_log_rerror, pair: (apr_strerror, conv_in_addr), support: 21, confidence: 95.45%
bug: conv_in_addr in apr_strfsize, pair: (apr_strfsize, conv_in_addr), support: 21, confidence: 95.45%
bug: conv_os_thread_t_hex in ap_log_rerror, pair: (apr_strerror, conv_os_thread_t_hex), support: 21, confidence: 95.45%
bug: conv_os_thread_t_hex in apr_strfsize, pair: (apr_strfsize, conv_os_thread_t_hex), support: 21, confidence: 95.45%
bug: conv_os_thread_t in ap_log_rerror, pair: (apr_strerror, conv_os_thread_t), support: 21, confidence: 95.45%
bug: conv_os_thread_t in apr_strfsize, pair: (apr_strfsize, conv_os_thread_t), support: 21, confidence: 95.45%
bug: conv_p2 in conv_os_thread_t_hex, pair: (conv_10, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (conv_p2, strchr), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (conv_p2, strlen), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__ctype_b_loc, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isinf, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isinff, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isinfl, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isnan, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isnanf, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_os_thread_t_hex, pair: (__isnanl, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (conv_10, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (conv_p2, strchr), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (conv_p2, strlen), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__ctype_b_loc, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isinf, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isinff, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isinfl, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isnan, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isnanf, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2 in conv_p2_quad, pair: (__isnanl, conv_p2), support: 29, confidence: 93.55%
bug: conv_p2_quad in ap_log_rerror, pair: (apr_strerror, conv_p2_quad), support: 21, confidence: 95.45%
bug: conv_p2_quad in apr_strfsize, pair: (apr_strfsize, conv_p2_quad), support: 21, confidence: 95.45%
bug: destroy_resource in apr_reslist_release, pair: (destroy_resource, pop_resource), support: 13, confidence: 81.25%
bug: destroy_resource in ms_release_conn, pair: (destroy_resource, pop_resource), support: 13, confidence: 81.25%
bug: destroy_resource in reslist_maint, pair: (destroy_resource, pop_resource), support: 13, confidence: 81.25%
bug: expand_array in ap_method_register, pair: (expand_array, find_entry), support: 16, confidence: 88.89%
bug: expand_array in filter_provider, pair: (expand_array, find_entry), support: 16, confidence: 88.89%
bug: fputc in apr_hook_sort_all, pair: (fputc, fputs), support: 38, confidence: 90.48%
bug: fputc in ap_setup_prelinked_modules, pair: (fputc, fputs), support: 38, confidence: 90.48%
bug: fputc in main, pair: (fputc, fputs), support: 38, confidence: 90.48%
bug: fputc in sort_hook, pair: (fputc, fputs), support: 38, confidence: 90.48%
bug: free_container in apr_reslist_release, pair: (free_container, pop_resource), support: 13, confidence: 81.25%
bug: free_container in ms_release_conn, pair: (free_container, pop_resource), support: 13, confidence: 81.25%
bug: free_container in reslist_maint, pair: (free_container, pop_resource), support: 13, confidence: 81.25%
bug: free_proc_chain in apr_pool_destroy, pair: (apr_pool_destroy, free_proc_chain), support: 34, confidence: 97.14%
bug: fstat in apr_file_info_get_locked, pair: (apr_thread_mutex_lock, fstat), support: 10, confidence: 90.91%
bug: fstat in apr_file_info_get_locked, pair: (apr_thread_mutex_unlock, fstat), support: 10, confidence: 90.91%
bug: gai_strerror in allow_cmd, pair: (gai_strerror, strlen), support: 19, confidence: 86.36%
bug: gai_strerror in apr_strerror, pair: (gai_strerror, strlen), support: 19, confidence: 86.36%
bug: gai_strerror in apr_strerror, pair: (gai_strerror, stuffbuffer), support: 21, confidence: 95.45%
bug: gai_strerror in cgi_child_errfn, pair: (gai_strerror, strlen), support: 19, confidence: 86.36%
bug: get_container in apr_reslist_release, pair: (get_container, pop_resource), support: 10, confidence: 83.33%
bug: get_container in mget_conn_result, pair: (destroy_resource, get_container), support: 11, confidence: 91.67%
bug: get_container in mget_conn_result, pair: (free_container, get_container), support: 11, confidence: 91.67%
bug: get_container in mget_conn_result, pair: (get_container, pop_resource), support: 10, confidence: 83.33%
bug: getcwd in apr_filepath_merge, pair: (allocator_alloc, getcwd), support: 10, confidence: 90.91%
bug: kill in ap_reclaim_child_processes, pair: (__errno_location, kill), support: 12, confidence: 80.00%
bug: kill in ap_relieve_child_processes, pair: (__errno_location, kill), support: 12, confidence: 80.00%
bug: kill in reclaim_one_pid, pair: (__errno_location, kill), support: 12, confidence: 80.00%
bug: lseek in setptr, pair: (apr_thread_mutex_lock, lseek), support: 30, confidence: 96.77%
bug: lseek in setptr, pair: (apr_thread_mutex_unlock, lseek), support: 30, confidence: 96.77%
bug: make_array_core in apr_hook_sort_all, pair: (make_array_core, strlen), support: 13, confidence: 81.25%
bug: make_array_core in apr_xml_parse_file, pair: (make_array_core, strlen), support: 13, confidence: 81.25%
bug: make_array_core in prefork_hooks, pair: (make_array_core, strlen), support: 13, confidence: 81.25%
bug: malloc in add_alias_internal, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_alias_internal, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_alias, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_alias, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_alias_regex, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_alias_regex, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_setenvif_core, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in add_setenvif_core, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_file_walk, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_file_walk, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_fini_vhost_config, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_fini_vhost_config, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_location_walk, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_location_walk, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_log_pid, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_log_pid, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_mpm_run, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_mpm_run, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_process_request_internal, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_process_request_internal, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_allocator_create, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_allocator_create, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_regexec, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_regexec, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_register_extra_mpm_process, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in ap_register_extra_mpm_process, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_file_printf, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_file_printf, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_sdbm_open, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in apr_sdbm_open, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in core_map_to_storage, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in core_map_to_storage, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in dump_a_vhost, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in dump_a_vhost, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in dump_vhost_config, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in dump_vhost_config, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in filter_harness, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in filter_harness, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in filter_lookup, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in filter_lookup, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in fixup_redir, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in fixup_redir, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in is_header_regex, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in is_header_regex, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in match_headers, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in match_headers, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in match_version, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in match_version, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in parse_expr, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in parse_expr, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in prep, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in prep, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in re_check, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in re_check, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in start_ifversion, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in start_ifversion, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in translate_alias_redir, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in translate_alias_redir, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: malloc in try_alias_list, pair: (apr_thread_mutex_lock, malloc), support: 198, confidence: 86.84%
bug: malloc in try_alias_list, pair: (apr_thread_mutex_unlock, malloc), support: 198, confidence: 86.84%
bug: match in ap_regexec, pair: (match, try_flipped), support: 10, confidence: 83.33%
bug: match in pcre_exec, pair: (free, match), support: 11, confidence: 91.67%
bug: match in pcre_exec, pair: (malloc, match), support: 11, confidence: 91.67%
bug: match in pcre_exec, pair: (match, strlen), support: 11, confidence: 91.67%
bug: match in pcre_exec, pair: (match, try_flipped), support: 10, confidence: 83.33%
bug: ntohl in conv_in_addr, pair: (__ctype_b_loc, ntohl), support: 10, confidence: 90.91%
bug: ntohl in conv_in_addr, pair: (ntohl, strcpy), support: 10, confidence: 90.91%
bug: ntohl in conv_in_addr, pair: (ntohl, strlen), support: 10, confidence: 90.91%
bug: poll in apr_poll, pair: (apr_thread_mutex_lock, poll), support: 16, confidence: 80.00%
bug: poll in apr_poll, pair: (apr_thread_mutex_unlock, poll), support: 16, confidence: 80.00%
bug: poll in apr_wait_for_io_or_timeout, pair: (apr_thread_mutex_lock, poll), support: 16, confidence: 80.00%
bug: poll in apr_wait_for_io_or_timeout, pair: (apr_thread_mutex_unlock, poll), support: 16, confidence: 80.00%
bug: poll in impl_pollcb_poll, pair: (apr_thread_mutex_lock, poll), support: 16, confidence: 80.00%
bug: poll in impl_pollcb_poll, pair: (apr_thread_mutex_unlock, poll), support: 16, confidence: 80.00%
bug: poll in impl_pollset_poll, pair: (apr_thread_mutex_lock, poll), support: 16, confidence: 80.00%
bug: poll in impl_pollset_poll, pair: (apr_thread_mutex_unlock, poll), support: 16, confidence: 80.00%
bug: printf in ap_add_loaded_module, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in ap_add_module, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in ap_register_hooks, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in ap_show_directives, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in ap_show_modules, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in ap_signal_server, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in show_compile_settings, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in show_mpm_settings, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: printf in show_overrides, pair: (fputc, printf), support: 42, confidence: 82.35%
bug: pthread_cond_signal in apr_thread_cond_signal, pair: (apr_thread_mutex_lock, pthread_cond_signal), support: 15, confidence: 93.75%
bug: pthread_cond_signal in apr_thread_cond_signal, pair: (apr_thread_mutex_unlock, pthread_cond_signal), support: 15, confidence: 93.75%
bug: pthread_mutexattr_destroy in proc_mutex_proc_pthread_create, pair: (pthread_mutexattr_destroy, pthread_mutexattr_settype), support: 16, confidence: 94.12%
bug: pthread_mutexattr_init in proc_mutex_proc_pthread_create, pair: (pthread_mutexattr_init, pthread_mutexattr_settype), support: 16, confidence: 94.12%
bug: push_resource in apr_memcache_server_create, pair: (allocator_free, push_resource), support: 10, confidence: 90.91%
bug: push_resource in apr_memcache_server_create, pair: (apr_pool_destroy, push_resource), support: 10, confidence: 90.91%
bug: push_resource in apr_memcache_server_create, pair: (free_proc_chain, push_resource), support: 10, confidence: 90.91%
bug: push_resource in apr_memcache_server_create, pair: (push_resource, run_cleanups), support: 10, confidence: 90.91%
bug: push_resource in mget_conn_result, pair: (create_resource, push_resource), support: 10, confidence: 90.91%
bug: push_resource in mget_conn_result, pair: (destroy_resource, push_resource), support: 10, confidence: 90.91%
bug: push_resource in mget_conn_result, pair: (free_container, push_resource), support: 10, confidence: 90.91%
bug: push_resource in ms_release_conn, pair: (apr_thread_cond_signal, push_resource), support: 10, confidence: 90.91%
bug: qsort in ap_core_reorder_directories, pair: (qsort, strcmp), support: 12, confidence: 85.71%
bug: qsort in ap_fixup_virtual_hosts, pair: (qsort, strcmp), support: 12, confidence: 85.71%
bug: run_cleanups in apr_pool_destroy, pair: (apr_pool_destroy, run_cleanups), support: 34, confidence: 97.14%
bug: sigemptyset in apr_signal_block, pair: (sigaction, sigemptyset), support: 10, confidence: 83.33%
bug: sigemptyset in apr_signal_unblock, pair: (sigaction, sigemptyset), support: 10, confidence: 83.33%
bug: strncmp in apr_memcache_stats, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in apr_memcache_version, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in ap_ssi_get_tag_and_value, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in cgi_handler, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in check_posix_name, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in check_serverpath, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in compile_branch, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in compile_regex, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in decodehtml, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in discard_variant_by_env, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in parse_negotiate_header, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in pcre_compile, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in set_charset_quality, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strncmp in update_stats, pair: (strlen, strncmp), support: 56, confidence: 80.00%
bug: strrchr in add_include_vars, pair: (strlen, strrchr), support: 103, confidence: 85.12%
