bug: abort in add_browser, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: apr_gcvt in handle_map_file, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, apr_thread_mutex_lock), support: 80, confidence: 93.02%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, apr_thread_mutex_unlock), support: 80, confidence: 93.02%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in handle_map_file, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in handle_multi, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in handle_multi, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, apr_thread_mutex_lock), support: 80, confidence: 93.02%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, apr_thread_mutex_unlock), support: 80, confidence: 93.02%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in handle_multi, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in index_directory, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in index_directory, pair: (apr_gcvt, apr_thread_mutex_lock), support: 80, confidence: 93.02%
bug: apr_gcvt in index_directory, pair: (apr_gcvt, apr_thread_mutex_unlock), support: 80, confidence: 93.02%
bug: apr_gcvt in index_directory, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in index_directory, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in index_directory, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in index_directory, pair: (__errno_location, apr_gcvt), support: 76, confidence: 88.37%
bug: apr_gcvt in process_command_config, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in process_command_config, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in process_command_config, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in process_command_config, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in process_command_config, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in process_command_config, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in process_command_config, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_gcvt in process_command_config, pair: (__errno_location, apr_gcvt), support: 76, confidence: 88.37%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_del, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_fetch, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_firstkey, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_nextkey, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_cpystrn, apr_gcvt), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_error_string, apr_gcvt), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_gcvt, gai_strerror), support: 71, confidence: 82.56%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_gcvt, hstrerror), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_gcvt, strcpy), support: 72, confidence: 83.72%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_gcvt, strerror_r), support: 69, confidence: 80.23%
bug: apr_gcvt in vt_sdbm_store, pair: (apr_gcvt, strrchr), support: 71, confidence: 82.56%
bug: apr_hash_next in ap_method_name_of, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in apr_dbm_get_usednames, pair: (apr_hash_next, malloc), support: 52, confidence: 91.23%
bug: apr_hash_next in apr_dbm_open, pair: (apr_hash_next, malloc), support: 52, confidence: 91.23%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_next, apr_thread_mutex_lock), support: 54, confidence: 94.74%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_next, apr_thread_mutex_unlock), support: 54, confidence: 94.74%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_next, malloc), support: 52, confidence: 91.23%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in apr_hash_first, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in ap_send_http_options, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in default_handler, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in expand_array, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in make_allow, pair: (apr_hash_next, memcmp), support: 50, confidence: 87.72%
bug: apr_hash_next in merge_mime_dir_configs, pair: (apr_hash_next, apr_thread_mutex_lock), support: 54, confidence: 94.74%
bug: apr_hash_next in merge_mime_dir_configs, pair: (apr_hash_next, apr_thread_mutex_unlock), support: 54, confidence: 94.74%
bug: apr_hash_next in merge_mime_dir_configs, pair: (apr_hash_next, malloc), support: 52, confidence: 91.23%
bug: apr_hash_next in remove_extension_type, pair: (apr_hash_next, apr_thread_mutex_lock), support: 54, confidence: 94.74%
bug: apr_hash_next in remove_extension_type, pair: (apr_hash_next, apr_thread_mutex_unlock), support: 54, confidence: 94.74%
bug: apr_hash_next in remove_extension_type, pair: (apr_hash_next, malloc), support: 52, confidence: 91.23%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (apr_hash_pool_get, conv_10), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (apr_hash_pool_get, conv_p2), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (apr_hash_pool_get, getenv), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (apr_hash_pool_get, strchr), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__ctype_b_loc, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isinf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isinff, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isinfl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isnan, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isnanf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in ap_add_module_commands, pair: (__isnanl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apr_dbm_get_usednames, pair: (apr_hash_pool_get, malloc), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in apr_dbm_open, pair: (apr_hash_pool_get, malloc), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in ap_read_config, pair: (apr_hash_next, apr_hash_pool_get), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in apu_dso_load, pair: (apr_hash_pool_get, conv_10), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (apr_hash_pool_get, conv_p2), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__ctype_b_loc, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isinf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isinff, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isinfl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isnan, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isnanf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in apu_dso_load, pair: (__isnanl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in main, pair: (apr_hash_next, apr_hash_pool_get), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (apr_hash_pool_get, conv_10), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (apr_hash_pool_get, conv_p2), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (apr_hash_pool_get, getenv), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (apr_hash_pool_get, strchr), support: 13, confidence: 86.67%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__ctype_b_loc, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isinf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isinff, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isinfl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isnan, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isnanf, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_hash_pool_get in rebuild_conf_hash, pair: (__isnanl, apr_hash_pool_get), support: 12, confidence: 80.00%
bug: apr_inet_ntop in ap_log_pid, pair: (apr_inet_ntop, apr_vformatter), support: 22, confidence: 95.65%
bug: apr_inet_ntop in main, pair: (apr_cvt, apr_inet_ntop), support: 22, confidence: 95.65%
bug: apr_inet_ntop in main, pair: (apr_inet_ntop, ntohl), support: 22, confidence: 95.65%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (allocator_free, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_allocator_destroy, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_allocator_mutex_get, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_allocator_mutex_set, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_allocator_owner_get, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_brigade_cleanup, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_brigade_flatten, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_bucket_socket_make, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_proc_kill), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_sleep), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_thread_mutex_lock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, apr_thread_mutex_unlock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, destroy_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, free_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, free), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, gettimeofday), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, make_server_live), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, memchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, pop_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, pthread_cond_signal), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, pthread_cond_timedwait), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, pthread_cond_wait), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, run_cleanups), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, strchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, strlen), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (apr_memcache_hash_crc32, writev), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash_default, pair: (__errno_location, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (allocator_free, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_allocator_destroy, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_allocator_mutex_get, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_allocator_mutex_set, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_allocator_owner_get, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_brigade_cleanup, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_brigade_flatten, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_bucket_socket_make, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_proc_kill), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_sleep), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_thread_mutex_lock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, apr_thread_mutex_unlock), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, destroy_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, free_container), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, free), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, gettimeofday), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, make_server_live), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, memchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, pop_resource), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, pthread_cond_signal), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, pthread_cond_timedwait), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, pthread_cond_wait), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, run_cleanups), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, strchr), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, strlen), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (apr_memcache_hash_crc32, writev), support: 10, confidence: 83.33%
bug: apr_memcache_hash_crc32 in apr_memcache_hash, pair: (__errno_location, apr_memcache_hash_crc32), support: 10, confidence: 83.33%
bug: apr_os_strerror in ap_xml_parse_input, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in ap_xml_parse_input, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in do_negotiation, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in do_negotiation, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in format_byte_out, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in format_byte_out, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in format_kbyte_out, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in format_kbyte_out, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in handle_fsize, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in handle_fsize, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in output_directories, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in output_directories, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_os_strerror in show_time, pair: (apr_os_strerror, apr_thread_mutex_lock), support: 53, confidence: 88.33%
bug: apr_os_strerror in show_time, pair: (apr_os_strerror, apr_thread_mutex_unlock), support: 53, confidence: 88.33%
bug: apr_pool_allocator_get in ap_mpm_run, pair: (allocator_free, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (allocator_free, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_allocator_destroy, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_allocator_mutex_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_allocator_mutex_set, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_allocator_owner_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_proc_kill), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_sleep), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, free_proc_chain), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, free), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, gettimeofday), support: 22, confidence: 95.65%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, run_cleanups), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (__errno_location, apr_pool_allocator_get), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_allocator_destroy, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_allocator_mutex_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_allocator_mutex_set, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_allocator_owner_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_pool_allocator_get, apr_proc_kill), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_pool_allocator_get, apr_sleep), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in apr_memcache_find_server_hash, pair: (apr_pool_allocator_get, free), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (allocator_free, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_allocator_destroy, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_allocator_mutex_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_allocator_mutex_set, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_allocator_owner_get, apr_pool_allocator_get), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_proc_kill), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_sleep), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, free_proc_chain), support: 21, confidence: 91.30%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, free), support: 20, confidence: 86.96%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, run_cleanups), support: 21, confidence: 91.30%
