bug: abort in add_browser, pair: (abort, apr_cpystrn), support: 17, confidence: 85.00%
bug: apr_ecvt in apr_dbm_open, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in apr_dbm_open, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in apr_dbm_open, pair: (__errno_location, apr_ecvt), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_file_printf, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_file_printf, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_file_printf, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in apr_file_printf, pair: (apr_ecvt, stuffbuffer), support: 80, confidence: 93.02%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, stuffbuffer), support: 80, confidence: 93.02%
bug: apr_ecvt in apr_pvsprintf, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, apr_snprintf), support: 83, confidence: 96.51%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, apr_thread_mutex_lock), support: 82, confidence: 95.35%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 82, confidence: 95.35%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, stuffbuffer), support: 80, confidence: 93.02%
bug: apr_ecvt in apr_snprintf, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, apr_thread_mutex_lock), support: 82, confidence: 95.35%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 82, confidence: 95.35%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, stuffbuffer), support: 80, confidence: 93.02%
bug: apr_ecvt in apr_vsnprintf, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in ap_setup_prelinked_modules, pair: (__errno_location, apr_ecvt), support: 78, confidence: 90.70%
bug: apr_ecvt in ap_update_vhost_from_headers, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in ap_update_vhost_from_headers, pair: (apr_ecvt, apr_snprintf), support: 83, confidence: 96.51%
bug: apr_ecvt in ap_update_vhost_from_headers, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in ap_update_vhost_from_headers, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, apr_os_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, apr_thread_mutex_lock), support: 82, confidence: 95.35%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 82, confidence: 95.35%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, native_strerror), support: 78, confidence: 90.70%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, stuffbuffer), support: 80, confidence: 93.02%
bug: apr_ecvt in ap_vrprintf, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in handle_map_file, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in handle_map_file, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in handle_map_file, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in handle_map_file, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in handle_map_file, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in handle_multi, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, apr_thread_mutex_lock), support: 82, confidence: 95.35%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, apr_thread_mutex_unlock), support: 82, confidence: 95.35%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in handle_multi, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in index_directory, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in index_directory, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in index_directory, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in index_directory, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in index_directory, pair: (__errno_location, apr_ecvt), support: 78, confidence: 90.70%
bug: apr_ecvt in process_command_config, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in process_command_config, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in process_command_config, pair: (apr_ecvt, lseek), support: 69, confidence: 80.23%
bug: apr_ecvt in process_command_config, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in process_command_config, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in process_command_config, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in process_command_config, pair: (__errno_location, apr_ecvt), support: 78, confidence: 90.70%
bug: apr_ecvt in vt_sdbm_del, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in vt_sdbm_del, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_del, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_del, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_fetch, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in vt_sdbm_fetch, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_fetch, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_fetch, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_fetch, pair: (apr_ecvt, write), support: 70, confidence: 81.40%
bug: apr_ecvt in vt_sdbm_firstkey, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in vt_sdbm_firstkey, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_firstkey, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_firstkey, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_nextkey, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in vt_sdbm_nextkey, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_nextkey, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_nextkey, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_store, pair: (apr_cpystrn, apr_ecvt), support: 74, confidence: 86.05%
bug: apr_ecvt in vt_sdbm_store, pair: (apr_ecvt, hstrerror), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_store, pair: (apr_ecvt, strerror_r), support: 71, confidence: 82.56%
bug: apr_ecvt in vt_sdbm_store, pair: (apr_ecvt, strrchr), support: 71, confidence: 82.56%
bug: apr_error_string in add_setenvif_core, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, strchr), support: 173, confidence: 97.19%
bug: apr_error_string in add_setenvif_core, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in add_setenvif_core, pair: (__ctype_b_loc, apr_error_string), support: 173, confidence: 97.19%
bug: apr_error_string in add_setenvif_core, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in add_setenvif_core, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strcpy), support: 175, confidence: 98.31%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strlen), support: 175, confidence: 98.31%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in allow_cmd, pair: (__ctype_b_loc, apr_error_string), support: 173, confidence: 97.19%
bug: apr_error_string in allow_cmd, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in allow_cmd, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_add_loaded_module, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_add_loaded_module, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_add_loaded_module, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_directory_walk, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_directory_walk, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_directory_walk, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_directory_walk, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_escape_html, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_escape_html, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_escape_html, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in ap_init_scoreboard, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, strchr), support: 173, confidence: 97.19%
bug: apr_error_string in ap_init_virtual_host, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_init_virtual_host, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_init_virtual_host, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_limit_section, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_mpm_pod_killpg, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_mpm_pod_signal, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_open_piped_log_ex, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_open_piped_log, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_open_piped_log, pair: (apr_error_string, strchr), support: 173, confidence: 97.19%
bug: apr_error_string in ap_open_piped_log, pair: (__ctype_b_loc, apr_error_string), support: 173, confidence: 97.19%
bug: apr_error_string in ap_open_piped_log, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_open_piped_log, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in ap_os_create_privileged_process, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_os_create_privileged_process, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_os_create_privileged_process, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_parse_vhost_addrs, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_psignature, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_brigade_printf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_brigade_vprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_dbd_get_driver, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_dbd_prepare, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_dbm_get_usednames, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in apr_dbm_get_usednames, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in apr_dbm_open, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in apr_dbm_open, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_reclaim_child_processes, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in ap_relieve_child_processes, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_remove_loaded_module, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in apr_file_printf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_memcache_delete, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_psprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_pvsprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strchr), support: 173, confidence: 97.19%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strcpy), support: 175, confidence: 98.31%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strlen), support: 175, confidence: 98.31%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_strerror, pair: (__ctype_b_loc, apr_error_string), support: 173, confidence: 97.19%
bug: apr_error_string in apr_strerror, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strerror, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_vsnprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_vsnprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_vsnprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in apr_xml_parser_geterror, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_xml_parser_geterror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in apr_xml_parser_geterror, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in ap_set_listener, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_set_name_virtual_host, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_setup_listeners, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_setup_prelinked_modules, pair: (apr_cpystrn, apr_error_string), support: 163, confidence: 91.57%
bug: apr_error_string in ap_setup_prelinked_modules, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in ap_setup_prelinked_modules, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in ap_ssi_parse_string, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in ap_vrprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_vrprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_vrprintf, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in ap_xml_parse_input, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in ap_xml_parse_input, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strchr), support: 173, confidence: 97.19%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strcpy), support: 175, confidence: 98.31%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strlen), support: 175, confidence: 98.31%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in cgi_child_errfn, pair: (__ctype_b_loc, apr_error_string), support: 173, confidence: 97.19%
bug: apr_error_string in cgi_child_errfn, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (__isinff, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (__isinfl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (__isnan, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (__isnanf, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in cgi_child_errfn, pair: (__isnanl, apr_error_string), support: 166, confidence: 93.26%
bug: apr_error_string in dbm_open_type, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in dump_a_vhost, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in dump_vhost_config, pair: (apr_error_string, stuffbuffer), support: 148, confidence: 83.15%
bug: apr_error_string in format_byte_out, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in format_byte_out, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in format_kbyte_out, pair: (apr_error_string, apr_thread_mutex_lock), support: 159, confidence: 89.33%
bug: apr_error_string in format_kbyte_out, pair: (apr_error_string, apr_thread_mutex_unlock), support: 159, confidence: 89.33%
bug: apr_error_string in handle_config, pair: (apr_error_string, conv_10), support: 166, confidence: 93.26%
bug: apr_error_string in handle_config, pair: (apr_error_string, conv_p2), support: 166, confidence: 93.26%
bug: apr_error_string in handle_config, pair: (apr_error_string, hstrerror), support: 154, confidence: 86.52%
bug: apr_error_string in handle_config, pair: (apr_error_string, ntohl), support: 143, confidence: 80.34%
bug: apr_error_string in handle_config, pair: (apr_error_string, strerror_r), support: 154, confidence: 86.52%
bug: apr_error_string in handle_config, pair: (__isinf, apr_error_string), support: 166, confidence: 93.26%
